x,y,z,t
6148461.279425,1876722.046393,-2996589.304452,3835.916000
6147682.821963,2243202.528447,-2735910.407483,3895.914000
6122183.511854,2600662.692855,-2464201.294722,3955.911000
6072065.575340,2947664.930758,-2182557.332764,4015.910000
5997530.396463,3282813.718115,-1892114.022935,4075.906000
5898877.743385,3604761.287096,-1594042.407286,4135.905000
5776504.578580,3912213.103509,-1289544.319151,4195.900000
5630903.459719,4203933.121421,-979847.503114,4255.896000
5462660.542832,4478748.790568,-666200.629509,4315.895000
5272453.201927,4735555.796978,-349868.227071,4375.892000
5061047.279402,4973322.521190,-32125.554919,4435.891000
4829293.979520,5191094.200271,285746.567411,4495.867000
4578129.411283,5387995.960089,602466.597897,4555.864000
4308576.161058,5563234.891132,916756.837632,4615.860000
4021720.575216,5716108.356643,1227350.831177,4675.857000
3718717.400221,5846004.308874,1532997.433167,4735.854000
3400786.178189,5952403.398052,1832465.749413,4795.850000
3069206.240243,6034880.982980,2124550.112206,4855.849000
2725311.470169,6093108.739940,2408074.931273,4915.846000
2370484.865239,6126855.863693,2681899.397745,4975.845000
2006152.925051,6135989.865691,2944922.023776,5035.842000
1633779.895914,6120476.975479,3196085.003191,5095.839000
1254861.894574,6080382.153080,3434378.382159,5155.838000
870920.930692,6015868.718003,3658844.029929,5215.835000
483498.848058,5927197.598765,3868579.397624,5275.834000
94151.203487,5814726.205726,4062741.052672,5335.831000
-295558.894271,5678906.930449,4240547.974233,5395.828000
-684066.960574,5520285.277373,4401284.594999,5455.828000
-1069813.298685,5339497.637680,4544303.576396,5515.825000
-1451249.123764,5137268.719638,4669028.307584,5575.824000
-1826842.621587,4914408.653222,4774955.123063,5635.821000
-2195084.920376,4671809.788261,4861655.237891,5695.818000
-2554495.958972,4410443.204410,4928776.402480,5755.817000
-2903630.238820,4131354.948259,4976044.279863,5815.814000
-3241082.449793,3835662.008848,5003263.547101,5875.813000
-3565492.960114,3524548.039208,5010318.719713,5935.810000
-3875553.158430,3199258.829361,4997174.694628,5995.807000
-4170010.632499,2861097.536363,4963877.004330,6055.806000
-4447674.164846,2511419.679379,4910551.773597,6115.803000
-4707418.522642,2151627.911831,4837405.370833,6175.802000
-4948189.017607,1783166.587323,4744723.748546,6235.798000
-5169005.812560,1407516.140118,4632871.471161,6295.795000
-5368967.953750,1026187.303534,4502290.432316,6355.794000
-5547257.111816,640715.190325,4353498.267113,6415.793000
-5703141.017922,252653.258131,4187086.466708,6475.792000
-5835976.584415,-136432.819065,4003718.203076,6535.790000
-5945212.700718,-524971.354760,3804125.870843,6595.787000
-6030392.694751,-911390.911893,3589108.351421,6655.786000
-6091156.448515,-1294126.605956,3359528.003135,6715.783000
