OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1329,2020-025A,2025-11-23T23:59:24.994176,15.06424151,.00013099,53.0525,221.0814,102.5919,257.5216,0,U,45531,999,30916,.11615903E-2,.17074E-3,0
STARLINK-1338,2020-025B,2025-11-24T09:48:34.483680,15.06395735,.0001351,53.0533,219.2429,87.1748,272.9395,0,U,45532,999,30922,.13368E-3,.171E-4,0
STARLINK-1350,2020-025E,2025-11-23T23:02:30.841152,15.33048392,.00023517,53.0721,168.5490,101.0291,259.0975,0,U,45535,999,30992,.30867864E-3,.9635E-4,0
STARLINK-1362,2020-025H,2025-11-23T23:26:10.271328,15.06371492,.00016337,53.0528,220.9021,101.4400,258.6772,0,U,45538,999,30916,.60509127E-3,.8736E-4,0
STARLINK-1368,2020-025K,2025-11-23T23:32:52.484928,15.06396615,.00019434,53.0550,221.1649,80.4989,279.6219,0,U,45540,999,30915,.230109E-5,-.247E-5,0
STARLINK-1371,2020-025M,2025-11-24T09:59:10.754016,15.06395887,.0001871,53.0543,219.2076,90.8512,269.2691,0,U,45542,999,30922,.51428E-4,.484E-5,0
STARLINK-1372,2020-025N,2025-11-23T23:43:29.046432,15.06395726,.00017445,53.0538,221.1309,84.6454,275.4734,0,U,45543,999,30825,.42664445E-3,.6078E-4,0
STARLINK-1373,2020-025P,2025-11-24T09:43:15.716064,15.06396503,.000126,53.0532,219.2611,100.7776,259.3355,0,U,45544,999,30922,.14378E-3,.1861E-4,0
STARLINK-1294,2020-025W,2025-11-23T18:53:09.601152,15.64028279,.00056751,53.0451,145.9490,133.0914,227.0576,0,U,45551,999,31020,.75635282E-3,.72967E-3,0
STARLINK-1325,2020-025Z,2025-11-24T14:00:01.999008,15.70796563,.0004531,53.0517,134.3787,289.4194,3.7364,0,U,45554,999,588,.15647E-2,.202735E-2,0
STARLINK-1327,2020-025AA,2025-11-23T21:54:40.785120,15.06394215,.00016459,53.0529,201.4738,77.1340,282.9833,0,U,45555,999,30942,.17259113E-3,.229E-4,0
STARLINK-1356,2020-025AK,2025-11-23T22:00:00.017568,15.06417239,.00014388,53.0528,201.4463,113.3998,246.7142,0,U,45564,999,30942,.14371452E-2,.21199E-3,0
STARLINK-1357,2020-025AL,2025-11-23T23:21:19.656288,15.36024548,.00101615,53.0580,181.6592,94.3009,265.9155,0,U,45565,999,30971,.16943756E-2,.60493E-3,0
STARLINK-1361,2020-025AN,2025-11-24T01:37:36.535008,15.06396389,.00017293,53.0532,200.7699,91.7607,268.3580,0,U,45567,999,30945,.28877879E-3,.4022E-4,0
STARLINK-1363,2020-025AP,2025-11-23T23:42:43.426368,15.45314315,.00067842,53.0507,192.6233,135.4452,224.7100,0,U,45568,999,30955,.20391879E-2,.9966E-3,0
STARLINK-1366,2020-025AQ,2025-11-23T21:49:15.742272,15.42862329,.00048175,53.0507,192.7212,134.4603,225.6796,0,U,45569,999,30954,.21357158E-3,.9113E-4,0
STARLINK-1376,2020-025AR,2025-11-24T01:32:17.523744,15.06396582,.00016742,53.0549,200.7914,81.5136,278.6042,0,U,45570,999,30944,-.20219E-7,-.282E-5,0
STARLINK-1320,2020-025AT,2025-11-24T11:17:56.715648,15.45326864,.0009699,53.0563,135.9026,99.7679,260.4422,0,U,45572,999,31041,.4999E-3,.23898E-3,0
STARLINK-1321,2020-025AU,2025-11-23T22:01:18.877440,15.06403725,.00014606,53.0547,191.4487,94.0632,266.0524,0,U,45573,999,30926,.11272894E-3,.1398E-4,0
STARLINK-1328,2020-025AX,2025-11-24T14:00:01.999008,15.77457742,.0008151,53.0469,153.3224,126.9488,115.4317,0,U,45576,999,596,.1136E-2,.196209E-2,0
STARLINK-1331,2020-025AZ,2025-11-23T23:04:59.796480,15.06400989,.00018757,53.0552,191.2494,69.1130,291.0059,0,U,45578,999,30958,.11857002E-3,.1485E-4,0
STARLINK-1333,2020-025BB,2025-11-24T02:25:20.327808,15.06445270,.00013345,53.0524,200.6229,79.4414,280.6725,0,U,45580,999,30945,.96627634E-3,.14158E-3,0
STARLINK-1335,2020-025BC,2025-11-23T20:09:48.771648,15.06401602,.00012926,53.0522,191.7977,98.4688,261.6447,0,U,45581,999,30955,-.24386624E-3,-.3912E-4,0
STARLINK-1337,2020-025BD,2025-11-23T20:41:42.003744,15.06396116,.0001506,53.0520,191.6993,93.3908,266.7254,0,U,45582,999,30955,.7988654E-5,-.163E-5,0
STARLINK-1347,2020-025BH,2025-11-24T08:58:51.981600,15.35080622,.0010078,53.0522,170.3817,100.6897,259.5239,0,U,45586,999,30989,.20264E-2,.70348E-3,0
STARLINK-1360,2020-025BK,2025-11-24T14:00:01.999008,15.82164478,.000218,53.0414,80.1277,306.8798,88.0870,0,U,45588,999,583,.73234E-3,.155566E-2,0
STARLINK-1364,2020-025BL,2025-11-23T23:58:04.198080,15.06399221,.00014847,53.0522,191.0860,93.8485,266.2674,0,U,45589,999,30957,-.58498981E-4,-.1153E-4,0
STARLINK-1365,2020-025BM,2025-11-24T01:56:10.638816,15.06394849,.00017137,53.0539,220.7137,93.1609,266.9576,0,U,45590,999,30918,-.14192858E-4,-.493E-5,0
STARLINK-1443,2020-035D,2025-11-23T23:59:24.504288,15.06398094,.00016522,53.0521,181.0833,82.6673,277.4504,0,U,45660,999,30280,.16592266E-3,.2191E-4,0
STARLINK-1446,2020-035G,2025-11-23T18:27:23.061024,15.35958300,.00014874,53.0248,140.3232,144.2888,215.8213,0,U,45663,999,30335,.2020064E-2,.72047E-3,0
STARLINK-1448,2020-035J,2025-11-23T20:53:37.555584,15.06410490,.00019601,53.0543,181.6478,74.3308,285.7897,0,U,45665,999,30277,.42414656E-4,.35E-5,0
STARLINK-1451,2020-035M,2025-11-24T00:10:04.351584,15.06396177,.00014991,53.0525,181.3643,90.1326,269.9835,0,U,45668,999,30280,.23055876E-3,.3154E-4,0
STARLINK-1452,2020-035N,2025-11-23T20:23:06.975456,15.28921171,.00126981,53.0384,159.5040,98.4163,261.8276,0,U,45669,999,30309,.1819713E-2,.51937E-3,0
STARLINK-1453,2020-035P,2025-11-24T14:00:01.999008,15.13488664,.0001271,53.0551,148.2488,111.5714,189.5787,0,U,45670,999,584,.23164E-2,.41884E-3,0
STARLINK-1454,2020-035Q,2025-11-23T23:06:19.463328,15.06400947,.00016374,53.0544,181.2447,91.5556,268.5621,0,U,45671,999,30278,.47790268E-4,.43E-5,0
STARLINK-1456,2020-035S,2025-11-23T23:27:32.072256,15.06416593,.00014596,53.0525,181.1805,82.7441,277.3714,0,U,45673,999,30280,.1928458E-3,.2593E-4,0
STARLINK-1457,2020-035T,2025-11-24T09:50:38.377824,15.43527743,.0001244,53.0517,175.3081,118.6398,241.4733,0,U,45674,999,30289,.19729E-2,.90547E-3,0
STARLINK-1458,2020-035U,2025-11-23T23:22:14.569536,15.06404780,.00016487,53.0527,181.1959,86.2757,273.8421,0,U,45675,999,30276,-.26998663E-4,-.684E-5,0
STARLINK-1460,2020-035V,2025-11-23T21:04:15.000096,15.06399017,.0001516,53.0529,181.6252,85.0454,275.0708,0,U,45676,999,30274,.1212468E-3,.1525E-4,0
STARLINK-1392,2020-035W,2025-11-23T22:55:43.781376,15.06390612,.00018232,53.0538,181.2768,106.0054,254.1136,0,U,45677,999,30279,.13527773E-3,.1733E-4,0
STARLINK-1394,2020-035Y,2025-11-23T21:16:11.529120,15.06397030,.00015236,53.0536,171.5879,96.3761,263.7402,0,U,45679,999,30292,.38141515E-4,.287E-5,0
