OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-35669,2025-257S,2025-11-24T12:00:02.000160,15.70460705,.0001177,53.1594,351.3852,78.0752,56.2406,0,U,66396,999,356,-.17347E-1,-.1922879E-1,0
STARLINK-35510,2025-257T,2025-11-24T12:00:02.000160,15.70461276,.000125,53.1599,351.3814,75.9435,60.2903,0,U,66397,999,356,-.17364E-1,-.1924666E-1,0
STARLINK-35642,2025-257U,2025-11-24T12:00:02.000160,15.70466196,.00012,53.1597,351.3773,69.4412,68.7061,0,U,66398,999,356,-.17422E-1,-.1930649E-1,0
STARLINK-35657,2025-257V,2025-11-24T12:00:02.000160,15.70449133,.0001384,53.1596,351.3732,76.3295,63.7452,0,U,66399,999,356,-.17229E-1,-.1910619E-1,0
STARLINK-35667,2025-257W,2025-11-24T12:00:02.000160,15.70461290,.000127,53.1598,351.3648,71.1714,72.7296,0,U,66400,999,356,-.17368E-1,-.1925076E-1,0
STARLINK-35668,2025-257X,2025-11-24T12:00:02.000160,15.70354227,.0001688,53.1596,351.3605,85.0356,60.8616,0,U,66401,999,356,-.16326E-1,-.1781056E-1,0
STARLINK-35644,2025-257Y,2025-11-24T12:00:02.000160,15.70459173,.0001367,53.1597,351.3691,73.7152,68.2698,0,U,66402,999,356,-.1734E-1,-.192222E-1,0
STARLINK-35602,2025-257Z,2025-11-24T12:00:02.000160,15.70463146,.0001293,53.1596,351.3570,71.3757,76.3583,0,U,66403,999,356,-.17393E-1,-.1927663E-1,0
STARLINK-35691,2025-257AA,2025-11-24T12:00:02.000160,15.70456152,.0001358,53.1597,351.3525,69.0119,80.6405,0,U,66404,999,356,-.17298E-1,-.1917891E-1,0
STARLINK-35683,2025-257AB,2025-11-24T12:00:02.000160,15.70456811,.0001262,53.1595,351.3479,67.7506,83.8172,0,U,66405,999,340,-.17293E-1,-.1917314E-1,0
