x,y,z,t,firing,detected_by_GS
-8342100.905266,10114435.727380,2589542.241035,4493.578000,0,0
-8473777.534433,9936521.442412,2831503.791469,4553.575000,0,0
-8600356.659983,9752629.758095,3071760.753782,4613.574000,0,0
-8721760.425292,9562869.354924,3310167.879764,4673.573000,0,0
-8837914.056294,9367352.538625,3546580.946493,4733.572000,0,0
-8948745.911246,9166195.175854,3780856.846168,4793.571000,0,0
-9054187.528625,8959516.627473,4012853.675436,4853.569000,0,0
-9154173.673200,8747439.679548,4242430.824217,4913.568000,0,0
-9248642.380040,8530090.471871,4469449.063849,4973.568000,0,0
-9337534.996645,8307598.424293,4693770.634606,5033.567000,0,0
-9420796.223007,8080096.160751,4915259.332451,5093.566000,0,0
-9498374.149603,7847719.431066,5133780.594976,5153.564000,0,0
-9570220.293405,7610607.030663,5349201.586531,5213.563000,0,0
-9636289.631620,7368900.718036,5561391.282348,5273.562000,0,0
-9696540.633396,7122745.130252,5770220.551738,5333.561000,0,0
-9750935.289298,6872287.696380,5975562.240206,5393.561000,0,0
-9799439.138557,6617678.548946,6177291.250450,5453.558000,0,0
-9842021.294185,6359070.433544,6375284.622252,5513.557000,0,0
-9878654.465685,6096618.616491,6569421.611037,5573.556000,0,0
-9909314.979602,5830480.790763,6759583.765233,5633.556000,0,0
-9933982.797704,5560816.980159,6945655.002238,5693.555000,0,0
-9952641.532836,5287789.441778,7127521.682979,5753.553000,0,0
-9965278.462531,5011562.566940,7305072.685078,5813.552000,0,0
-9971884.540115,4732302.780487,7478199.474401,5873.551000,0,0
-9972454.403562,4450178.438648,7646796.175125,5933.551000,0,0
-9966986.381912,4165359.725483,7810759.638137,5993.550000,0,0
-9955482.499279,3878018.547961,7969989.507753,6053.548000,0,0
-9937948.476556,3588328.429814,8124388.286787,6113.547000,0,0
-9914393.730571,3296464.404129,8273861.399733,6173.546000,0,0
-9884831.370940,3002602.904847,8418317.254214,6233.546000,0,0
-9849278.194454,2706921.657201,8557667.300515,6293.545000,0,0
-9807754.677029,2409599.567160,8691826.089196,6353.543000,0,0
-9760284.963351,2110816.609999,8820711.326821,6413.542000,0,0
-9706896.853943,1810753.717999,8944243.929562,6473.541000,0,0
-9647621.789960,1509592.667434,9062348.074860,6533.540000,0,0
-9582494.835510,1207515.964868,9174951.250952,6593.540000,0,0
-9511554.657584,904706.732858,9281984.304259,6653.537000,0,0
-9434843.503687,601348.595165,9383381.484718,6713.536000,0,0
-9352407.176964,297625.561505,9479080.488764,6773.536000,0,0
-9264295.009084,-6278.088030,9569022.500211,6833.535000,0,0
-9170559.830723,-310177.918829,9653152.228814,6893.535000,0,0
-9071257.939724,-613889.457803,9731417.946521,6953.534000,0,0
-8966449.067040,-917228.309542,9803771.521519,7013.533000,0,0
-8856196.340266,-1220010.272482,9870168.449774,7073.533000,0,0
-8740566.245019,-1522051.455026,9930567.884334,7133.533000,0,0
-8619628.584041,-1823168.391515,9984932.662174,7193.533000,0,0
-8493456.434084,-2123178.157981,10033229.328618,7253.530000,0,0
-8362126.100711,-2421898.487607,10075428.159431,7313.529000,0,0
-8225717.070818,-2719147.885775,10111503.180312,7373.529000,0,0
-8084311.963160,-3014745.744672,10141432.184043,7433.528000,0,0
-7937996.476737,-3308512.457331,10165196.745104,7493.527000,0,0
-7786859.337135,-3600269.531036,10182782.231782,7553.525000,0,0
-7630992.240952,-3889839.700058,10194177.815896,7613.524000,0,0
-7470489.798120,-4177047.037539,10199376.479848,7673.524000,0,0
-7305449.472415,-4461717.066557,10198375.021302,7733.523000,0,0
-7135971.520033,-4743676.870219,10191174.055274,7793.522000,0,0
-6962158.926309,-5022755.200721,10177778.013710,7853.520000,0,0
-6784117.340734,-5298782.587351,10158195.142638,7913.519000,0,0
-6601955.010088,-5571591.443249,10132437.496656,7973.518000,0,0
-6415782.709985,-5841016.170962,10100520.931044,8033.517000,0,0
-6225713.674705,-6106893.266648,10062465.091298,8093.517000,0,0
-6031863.525422,-6369061.422871,10018293.400171,8153.514000,0,0
-5834350.196952,-6627361.629973,9968033.042327,8213.514000,0,0
-5633293.862890,-6881637.275828,9911714.946362,8273.513000,0,0
-5428816.859397,-7131734.244039,9849373.764505,8333.512000,0,0
-5221043.607543,-7377501.010427,9781047.849800,8393.512000,0,0
-5010100.534319,-7618788.737756,9706779.230863,8453.509000,0,0
-4796115.992423,-7855451.368719,9626613.584329,8513.508000,0,0
-4579220.178740,-8087345.716929,9540600.204764,8573.507000,0,0
-4359545.051729,-8314331.556067,9448791.972338,8633.507000,0,0
-4137224.247674,-8536271.706974,9351245.318102,8693.506000,0,0
-3912392.995886,-8753032.122675,9248020.186948,8753.503000,0,0
-3685188.032970,-8964481.971364,9139179.998382,8813.503000,0,0
-3455747.516106,-9170493.717088,9024791.604903,8873.502000,0,0
-3224210.935522,-9370943.198302,8904925.248282,8933.501000,0,0
-2990719.026147,-9565709.704092,8779654.513598,8993.500000,0,0
-2755413.678531,-9754676.048048,8649056.281115,9053.498000,0,0
-2518437.849134,-9937728.639856,8513210.676144,9113.497000,0,0
-2279935.469951,-10114757.554309,8372201.016689,9173.496000,0,0
-2040051.357651,-10285656.597973,8226113.759173,9233.495000,0,0
-1798931.122213,-10450323.373265,8075038.442122,9293.495000,0,0
-1556721.075156,-10608659.339976,7919067.627889,9353.492000,0,0
-1313568.137452,-10760569.874286,7758296.842566,9413.491000,0,0
-1069619.747119,-10905964.325007,7592824.513905,9473.490000,0,0
-825023.766639,-11044756.067280,7422751.907539,9533.489000,0,0
-579928.390207,-11176862.553510,7248183.061391,9593.489000,0,0
-334482.050902,-11302205.361565,7069224.718367,9653.486000,0,0
-88833.327862,-11420710.240331,6885986.257465,9713.485000,0,0
156869.146524,-11532307.152319,6698579.623165,9773.484000,0,0
402476.779283,-11636930.313610,6507119.253359,9833.483000,0,0
647841.109362,-11734518.230902,6311722.005740,9893.482000,0,0
892813.899880,-11825013.735719,6112507.082737,9953.480000,0,0
1137247.230083,-11908364.015862,5909595.955140,10013.480000,0,0
1380993.586917,-11984520.643830,5703112.284292,10073.479000,0,0
1623905.956182,-12053439.602498,5493181.843088,10133.479000,0,0
1865837.913185,-12115081.307833,5279932.435733,10193.479000,0,0
2106643.712833,-12169410.628712,5063493.816336,10253.476000,0,0
2346178.379130,-12216396.903947,4843997.606475,10313.475000,0,0
2584297.793969,-12256013.956241,4621577.211641,10373.474000,0,0
2820858.785221,-12288240.103384,4396367.736789,10433.473000,0,0
3055719.214007,-12313058.166486,4168505.900939,10493.473000,0,0
3288738.061131,-12330455.475297,3938129.950940,10553.470000,0,0
3519775.512622,-12340423.870775,3705379.574486,10613.469000,0,0
3748693.044288,-12342959.704589,3470395.812349,10673.468000,0,0
3975353.505281,-12338063.835910,3233320.970011,10733.468000,0,0
4199621.200587,-12325741.625289,2994298.528668,10793.467000,0,0
4421361.972385,-12306002.925678,2753473.055707,10853.465000,0,0
4640443.280285,-12278862.070771,2510990.114746,10913.464000,0,0
4856734.280282,-12244337.860358,2266996.175218,10973.463000,0,0
5070105.902510,-12202453.543072,2021638.521646,11033.463000,0,0
5280430.927643,-12153236.796306,1775065.162627,11093.461000,0,0
5487584.061952,-12096719.703400,1527424.739589,11153.458000,0,0
5691442.011002,-12032938.728265,1278866.435420,11213.457000,0,0
5891883.551838,-11961934.687157,1029539.882958,11273.457000,0,0
6088789.603756,-11883752.717971,779595.073483,11333.456000,0,0
6282043.297518,-11798442.246877,529182.265215,11393.456000,0,0
6471530.043010,-11706056.952372,278451.891898,11453.454000,0,0
6657137.595360,-11606654.726932,27554.471547,11513.453000,0,0
6838756.119343,-11500297.636007,-223359.484629,11573.452000,0,0
7016278.252200,-11387051.874714,-474139.563021,11633.452000,0,0
7189599.164733,-11266987.722050,-724635.538111,11693.451000,0,0
7358616.620667,-11140179.492745,-974697.462581,11753.448000,0,0
7523231.034330,-11006705.486905,-1224175.756994,11813.448000,0,0
7683345.526463,-10866647.937217,-1472921.298994,11873.447000,0,0
7838865.978310,-10720092.954067,-1720785.511966,11933.446000,0,0
7989701.083844,-10567130.468417,-1967620.453111,11993.446000,0,0
8135762.400145,-10407854.172541,-2213278.900871,12053.437000,0,0
8276964.395973,-10242361.458785,-2457614.441683,12113.436000,0,0
8413224.498368,-10070753.356151,-2700481.555963,12173.435000,0,0
8544463.137422,-9893134.465019,-2941735.703332,12233.434000,0,0
8670603.789105,-9709612.889891,-3181233.406986,12293.434000,0,0
8791573.016138,-9520300.170248,-3418832.337188,12353.431000,0,0
8907300.507017,-9325311.209688,-3654391.393855,12413.430000,0,0
9017719.112954,-9124764.203144,-3887770.788139,12473.430000,0,0
9122764.882959,-8918780.562520,-4118832.123033,12533.429000,0,0
9222377.096900,-8707484.840602,-4347438.472900,12593.428000,0,0
9316498.296575,-8491004.653363,-4573454.461912,12653.425000,0,0
9405074.314887,-8269470.600805,-4796746.341390,12713.425000,0,0
9488054.302900,-8043016.186179,-5017182.065925,12773.424000,0,0
9565390.755014,-7811777.733875,-5234631.368335,12833.423000,0,0
