x,y,z,t,firing
9034450.790677,-844054.687997,-8307648.175355,21705.233000,0
9170460.713598,-551782.010117,-8175090.887117,21765.232000,0
9299399.334415,-259083.886695,-8036224.350197,21825.230000,0
9421159.383706,33814.205977,-7891148.946012,21885.229000,0
9535639.611182,326686.145584,-7739970.671109,21945.227000,0
9642744.917026,619305.402846,-7582801.045486,22005.224000,0
9742386.475158,911445.282666,-7419757.012330,22065.224000,0
9834481.848104,1202879.166911,-7250960.829320,22125.221000,0
9918955.093159,1493380.758305,-7076539.951634,22185.221000,0
9995736.859560,1782724.324943,-6896626.906860,22245.218000,0
10064764.476404,2070684.944912,-6711359.162023,22305.216000,0
10125982.031076,2357038.750505,-6520878.982956,22365.215000,0
10179340.437983,2641563.171503,-6325333.286290,22425.212000,0
10224797.497411,2924037.177018,-6124873.484342,22485.212000,0
10262317.944352,3204241.515378,-5919655.323219,22545.210000,0
10291873.487195,3481958.951531,-5709838.714456,22605.207000,0
10313442.836169,3756974.501489,-5495587.560552,22665.206000,0
10327011.721502,4029075.663285,-5277069.574776,22725.203000,0
10332572.901254,4298052.643983,-5054456.095624,22785.203000,0
10330126.158841,4563698.582261,-4827921.896327,22845.201000,0
10319678.290276,4825809.766095,-4597644.989850,22905.199000,0
10301243.081198,5084185.845129,-4363806.429786,22965.198000,0
10274841.273798,5338630.037288,-4126590.107606,23025.195000,0
10240500.523755,5588949.329238,-3886182.546700,23085.195000,0
10198255.347349,5834954.670317,-3642772.693683,23145.193000,0
10148147.058938,6076461.159575,-3396551.707402,23205.190000,0
10090223.699018,6313288.225588,-3147712.746128,23265.189000,0
10024539.953095,6545259.798746,-2896450.753391,23325.187000,0
9951157.061643,6772204.475726,-2642962.242911,23385.186000,0
9870142.721447,6993955.675907,-2387445.083096,23445.183000,0
9781570.978616,7210351.789485,-2130098.281554,23505.181000,0
9685522.113631,7421236.317114,-1871121.770065,23565.181000,0
9582082.518750,7626458.000882,-1610716.190456,23625.179000,0
9471344.568156,7825870.946502,-1349082.681798,23685.178000,0
9353406.481222,8019334.736597,-1086422.669353,23745.175000,0
9228372.179287,8206714.534993,-822937.655653,23805.173000,0
9096351.136355,8387881.181992,-558829.014121,23865.172000,0
8957458.224125,8562711.280563,-294297.785585,23925.170000,0
8811813.551786,8731087.273492,-29544.478055,23985.170000,0
8659542.300986,8892897.511491,235231.129915,24045.167000,0
8500774.556425,9048036.312333,499830.181957,24105.164000,0
8335645.132499,9196404.011102,764054.932412,24165.164000,0
8164293.396417,9337907.001643,1027708.930374,24225.161000,0
7986863.088237,9472457.769351,1290597.199000,24285.160000,0
7803502.138239,9599974.915452,1552526.409850,24345.158000,0
7614362.482057,9720383.172921,1813305.052038,24405.155000,0
7419599.873989,9833613.414258,2072743.596021,24465.154000,0
7219373.698885,9939602.651295,2330654.651831,24525.152000,0
7013846.783021,10038294.027273,2586853.121631,24585.151000,0
6803185.204330,10129636.801420,2841156.346438,24645.148000,0
6587558.102383,10213586.326270,3093384.246934,24705.146000,0
6367137.488469,10290104.018000,3343359.458259,24765.145000,0
6142098.056122,10359157.320030,3590907.458739,24825.143000,0
5912616.992442,10420719.660190,3835856.692491,24885.142000,0
5678873.790515,10474770.401720,4078038.685875,24945.139000,0
5441050.063235,10521294.788404,4317288.157803,25005.137000,0
5199329.358833,10560283.884131,4553443.123894,25065.135000,0
4953896.978355,10591734.507182,4786344.994509,25125.132000,0
4704939.795371,10615649.159539,5015838.666714,25185.132000,0
4452646.078126,10632035.951533,5241772.610209,25245.129000,0
4197205.314373,10640908.522106,5463998.947309,25305.127000,0
3938808.039074,10642285.955008,5682373.527057,25365.126000,0
3677645.665171,10636192.691219,5896755.993557,25425.124000,0
3413910.317575,10622658.437882,6107009.848639,25485.123000,0
3147794.670547,10601718.074044,6313002.508972,25545.121000,0
2879491.788583,10573411.553484,6514605.357748,25605.119000,0
2609194.970944,10537783.804902,6711693.791074,25665.118000,0
2337097.599925,10494884.629748,6904147.259206,25725.116000,0
2063392.992949,10444768.597940,7091849.302789,25785.115000,0
1788274.258564,10387494.941745,7274687.584232,25845.112000,0
1511934.156405,10323127.448044,7452553.914400,25905.109000,0
1234564.961168,10251734.349244,7625344.274767,25965.108000,0
956358.330622,10173388.213054,7792958.835207,26025.102000,0
677505.177690,10088165.831334,7955301.967585,26085.101000,0
398195.546601,9996148.108249,8112282.255318,26145.095000,0
118618.493122,9897419.947914,8263812.499076,26205.089000,0
-161038.031156,9792070.141714,8409809.718793,26265.088000,0
-440587.290489,9680191.255497,8550195.152169,26325.084000,0
-719843.872640,9561879.516790,8684894.249811,26385.083000,0
-998623.792573,9437234.702220,8813836.667202,26445.080000,0
-1276744.592225,9306360.025263,8936956.253661,26505.076000,0
-1554025.436403,9169362.024490,9054191.038442,26565.074000,0
-1830287.204885,9026350.452413,9165483.214163,26625.069000,0
-2105352.580771,8877438.165078,9270779.117696,26685.069000,0
