x,y,z,t,firing,detected_by_GS
7942634.848505,-4465781.060724,13061601.080077,9407.613000,0,1
2501341.341474,13088056.104911,-925770.372380,9467.613000,0,1
7798490.971185,-4068724.158285,13164285.861675,9467.613000,0,1
2369120.520348,13127926.930771,-643326.541738,9527.613000,0,1
7646139.134979,-3674204.282147,13252125.416586,9527.613000,0,1
2236412.637878,13160396.540976,-360380.664158,9587.613000,0,1
7486047.646769,-3283114.422344,13324973.117280,9587.613000,0,1
2103389.055922,13185445.376967,-77063.170135,9647.613000,0,1
7318729.251151,-2896346.857878,13382752.505357,9647.613000,0,1
1970220.954371,13203059.597176,206494.949746,9707.613000,0,1
7144737.581281,-2514785.078227,13425461.302861,9707.613000,0,1
1837079.163882,13213231.076341,490162.207517,9767.613000,0,1
6964662.791895,-2139295.370538,13453174.473056,9767.613000,0,1
1704133.999084,13215957.399756,773806.681278,9827.613000,0,1
6779126.424045,-1770718.245716,13466046.205286,9827.613000,0,1
1571555.092400,13211241.852272,1057296.079340,9887.613000,0,1
6588775.577365,-1409859.892262,13464310.725299,9887.613000,0,1
1439511.228658,13199093.402071,1340497.805022,9947.613000,0,1
6394276.490604,-1057483.855390,13448281.865305,9947.613000,0,1
1308170.180661,13179526.679428,1623279.022097,10007.613000,0,1
6196307.653165,-714303.139823,13418351.364983,10007.613000,0,1
1177698.545860,13152561.950151,1905506.720803,10067.613000,0,1
5995552.587610,-380972.927435,13374985.913371,10067.613000,0,1
1048261.584323,13118225.084034,2187047.784411,10127.613000,0,1
5792692.455733,-58084.085589,13318722.981473,10127.613000,0,1
920023.058143,13076547.518213,2467769.056311,10187.613000,0,1
5588398.646789,253842.380525,13250165.532558,10187.613000,0,1
793145.072443,13027566.215432,2747537.407553,10247.613000,0,1
5383325.506550,554359.807039,13169975.731006,10247.613000,0,1
667787.918163,12971323.617485,3026219.804841,10307.613000,0,1
5178103.359746,843099.190848,13078867.798939,10307.613000,0,1
544109.916748,12907867.593537,3303683.378890,10367.613000,0,1
4973331.966366,1119771.294230,12977600.190747,10367.613000,0,1
422267.266934,12837251.383705,3579795.493143,10427.613000,0,1
4769574.535862,1384167.516544,12866967.269880,10427.613000,0,1
302413.893744,12759533.537788,3854423.812791,10487.613000,0,1
4567352.402725,1636159.550720,12747790.677493,10487.613000,0,1
184701.299890,12674777.849210,4127436.374029,10547.613000,0,1
4367140.444076,1875697.875391,12620910.580622,10547.613000,0,1
69278.419690,12583053.284440,4398701.653582,10607.613000,0,1
4169363.296062,2102809.162472,12487176.978581,10607.613000,0,1
-39721.707922,12629764.144400,4666122.480629,10667.613000,0,1
3962925.236174,2332679.701965,12491599.216203,10667.613000,0,1
-148931.821886,12692542.256582,4941412.252998,10727.613000,0,1
3750385.533890,2560168.526656,12511968.951019,10727.613000,0,1
-259056.856955,12749132.686458,5225819.253800,10787.613000,0,1
3533061.950267,2783395.936419,12526904.190130,10787.613000,0,1
-369947.109940,12798680.471899,5519558.838340,10847.613000,0,1
3311086.913630,3002188.923881,12536410.060210,10847.613000,0,1
-481419.755743,12840288.178017,5822781.064972,10907.613000,0,1
3084597.610403,3216378.289845,12540494.037972,10907.613000,0,1
-593257.136502,12873022.091744,6135562.737307,10967.613000,0,1
2853735.879224,3425798.796909,12539165.935971,10967.613000,0,1
-705205.436835,12895919.626823,6457899.643588,11027.613000,0,1
2618648.100292,3630289.319823,12532437.887284,11027.613000,0,1
-816973.822223,12907997.972918,6789699.180556,11087.613000,0,1
2379485.080038,3829692.992420,12520324.329159,11087.613000,0,1
-928234.118593,12908263.991981,7130773.574917,11147.613000,0,1
2136401.931263,4023857.351001,12502841.985723,11147.613000,0,1
-1038621.109136,12895725.326058,7480833.937606,11207.613000,0,1
1889557.948777,4212634.473944,12480009.849496,11207.613000,0,1
-1147733.518716,12869402.634788,7839485.403029,11267.613000,0,1
1639116.480727,4395881.117481,12451849.162084,11267.613000,0,1
-1255135.746119,12828342.827167,8206223.613318,11327.613000,0,1
1385244.795681,4573458.847441,12418383.393785,11327.613000,0,1
-1360360.389498,12771633.094225,8580432.805120,11387.613000,0,1
1128113.945602,4745234.166834,12379638.222266,11387.613000,0,1
-1462911.590428,12698415.488696,8961385.740372,11447.613000,0,1
867898.624865,4911078.639184,12335641.510404,11447.613000,0,1
-1562269.197108,12607901.738197,9348245.690980,11507.613000,0,1
604777.025395,5070869.007381,12286423.283031,11507.613000,0,1
-1657893.718208,12499387.925036,9740070.640123,11567.613000,0,1
338930.688110,5224487.308044,12232015.702947,11567.613000,0,1
-1749232.006472,12372268.621674,10135819.798883,11627.613000,0,1
70544.350781,5371820.981178,12172453.045975,11627.613000,0,1
-1835723.577354,12226050.042496,10534362.458804,11687.613000,0,1
-200194.207532,5512762.975053,12107771.675177,11687.613000,0,1
-1916807.434464,12060361.763249,10934489.111103,11747.613000,0,1
-473094.325332,5647211.846228,12038010.014344,11747.613000,0,1
-1991929.242798,11874966.572870,11334924.666181,11807.613000,0,1
-747962.620671,5775071.854488,11963208.520511,11807.613000,0,1
-2060548.665238,11669768.061352,11734343.509452,11867.613000,0,1
-1024603.156107,5896253.052753,11883409.655846,11867.613000,0,1
-2122146.659616,11444815.610368,12131386.036623,11927.613000,0,1
-1302817.606485,6010671.371733,11798657.858702,11927.613000,0,1
-2176232.525035,11200306.540012,12524676.231920,11987.613000,0,1
-1582405.429368,6118248.699287,11708999.513941,11987.613000,0,1
-2222350.488136,10936585.270183,12912839.791808,12047.613000,0,1
-1863164.037973,6218912.954461,11614482.922653,12047.613000,0,1
-2144888.976413,6312598.155958,11515158.271028,12107.613000,0,1
-2260085.633270,10654139.472459,13294522.260138,12107.613000,0,1
-2427374.097114,6399244.485162,11411077.598715,12167.613000,0,1
-2289069.004566,10353593.311288,13668406.632668,12167.613000,0,1
-2710411.740195,6478798.343491,11302294.766462,12227.613000,0,1
-2308981.741267,10035697.991945,14033229.909386,12227.613000,0,1
