x,y,z,t,firing
10527172.296828,-5348088.710094,-6364037.622154,6716.007000,0
10725432.797459,-5181309.623203,-6165134.585588,6776.006000,0
10917314.827326,-5011449.182396,-5962562.436941,6836.005000,0
11102702.203630,-4838607.454785,-5756440.604538,6896.004000,0
11281482.505174,-4662886.332657,-5546890.691610,6956.000000,0
11453547.143051,-4484389.476601,-5334036.408359,7015.998000,0
11618791.429196,-4303222.257406,-5118003.502566,7075.996000,0
11777114.643036,-4119491.696863,-4898919.688875,7135.995000,0
11928420.095996,-3933306.407414,-4676914.576727,7195.994000,0
12072615.193859,-3744776.530717,-4452119.596974,7255.990000,0
12209611.497058,-3554013.675167,-4224667.927269,7315.989000,0
12339324.778567,-3361130.852338,-3994694.416155,7375.989000,0
12461675.079662,-3166242.412451,-3762335.506005,7435.988000,0
12576586.763279,-2969463.978855,-3527729.154774,7495.988000,0
12683988.565000,-2770912.381555,-3291014.756628,7555.981000,0
12783813.641727,-2570705.589857,-3052333.061504,7615.980000,0
12875999.617735,-2368962.644102,-2811826.093604,7675.979000,0
12960488.628352,-2165803.586586,-2569637.068895,7735.977000,0
13037227.361032,-1961349.391657,-2325910.311660,7795.976000,0
13106167.093826,-1755721.895056,-2080791.170114,7855.962000,0
13167263.731342,-1549043.722526,-1834425.931179,7915.950000,0
13220477.837852,-1341438.217736,-1586961.734414,7975.949000,0
13265774.667892,-1133029.369529,-1338546.485179,8035.948000,0
13303124.193961,-923941.738607,-1089328.767083,8095.947000,0
13332501.131582,-714300.383611,-839457.753750,8155.946000,0
13353884.961456,-504230.786694,-589083.119967,8215.942000,0
13367259.948823,-293858.778616,-338354.952258,8275.942000,0
13372615.160022,-83310.463405,-87423.658955,8335.941000,0
13369944.476010,127287.857380,163560.120208,8395.940000,0
13359246.603118,337809.760713,414445.604895,8455.940000,0
13340525.080752,548128.778469,665081.965320,8515.935000,0
13313788.286186,758118.474037,915318.413689,8575.934000,0
13279049.436427,967652.519131,1165004.295883,8635.933000,0
13236326.586932,1176604.770747,1413989.183300,8695.933000,0
13185642.627464,1384849.348222,1662122.964829,8755.932000,0
13127025.274809,1592260.710332,1909255.938862,8815.927000,0
13060507.062505,1798713.732399,2155238.905306,8875.926000,0
12986125.327572,2004083.783343,2399923.257543,8935.925000,0
12903922.194052,2208246.802610,2643161.074221,8995.924000,0
12813944.553633,2411079.376966,2884805.210895,9055.924000,0
12716244.043108,2612458.817052,3124709.391377,9115.919000,0
12610877.018820,2812263.233699,3362728.298784,9175.918000,0
12497904.528112,3010371.613922,3598717.666221,9235.917000,0
12377392.277576,3206663.896518,3832534.366972,9295.916000,0
12249410.598409,3401021.047276,4064036.504230,9355.915000,0
12114034.408635,3593325.133680,4293083.500216,9415.908000,0
11971343.172353,3783459.399091,4519536.184676,9475.907000,0
11821420.856032,3971308.336366,4743256.882702,9535.906000,0
11664355.881691,4156757.760790,4964109.501732,9595.905000,0
11500241.077247,4339694.882371,5181959.617777,9655.904000,0
11329173.623827,4520008.377352,5396674.560719,9715.899000,0
11151255.000213,4697588.458937,5608123.498670,9775.898000,0
10966590.924442,4872326.947202,5816177.521341,9835.897000,0
10775291.292425,5044117.338042,6020709.722274,9895.896000,0
10577470.113878,5212854.871229,6221595.279998,9955.895000,0
10373245.445368,5378436.597421,6418711.537933,10015.890000,0
10162739.320651,5540761.444141,6611938.083061,10075.889000,0
9946077.678357,5699730.280677,6801156.823311,10135.888000,0
9723390.286878,5855245.981770,6986252.063482,10195.887000,0
9494810.666758,6007213.490164,7167110.579823,10255.878000,0
9260476.010448,6155539.877869,7343621.693045,10315.876000,0
9020527.099575,6300134.406160,7515677.339857,10375.875000,0
8775108.219683,6440908.584210,7683172.142843,10435.874000,0
8524367.072631,6577776.226369,7846003.478728,10495.873000,0
8268454.686556,6710653.507971,8004071.544884,10555.868000,0
8007525.323614,6839459.019734,8157279.424150,10615.867000,0
7741736.385433,6964113.820606,8305533.147801,10675.866000,0
7471248.316378,7084541.489053,8448741.756646,10735.865000,0
7196224.504738,7200668.172792,8586817.360277,10795.864000,0
6916831.181823,7312422.636840,8719675.194297,10855.860000,0
6633237.319129,7419736.309964,8847233.675637,10915.860000,0
6345614.523567,7522543.329384,8969414.455791,10975.859000,0
6054136.930838,7620780.583730,9086142.471963,11035.858000,0
5758981.097078,7714387.754276,9197345.996146,11095.857000,0
5460325.888773,7803307.354303,9302956.681978,11155.852000,0
5158352.371099,7887484.766710,9402909.609494,11215.850000,0
4853243.694705,7966868.279714,9497143.327602,11275.849000,0
4545184.981020,8041409.120653,9585599.894290,11335.849000,0
4234363.206220,8111061.487922,9668224.914595,11395.847000,0
3920967.083851,8175782.580899,9744967.576184,11455.840000,0
3605186.946281,8235532.627988,9815780.682676,11515.839000,0
3287214.625001,8290274.912637,9880620.684546,11575.838000,0
2967243.329861,8339975.797332,9939447.707614,11635.837000,0
2645467.527378,8384604.745623,9992225.579178,11695.836000,0
2322082.818129,8424134.342038,10038921.851636,11755.832000,0
1997285.813392,8458540.310032,10079507.823737,11815.832000,0
1671274.011060,8487801.527806,10113958.559323,11875.830000,0
1344245.670941,8511900.042050,10142252.903553,11935.829000,0
1016399.689546,8530821.079631,10164373.496706,11995.828000,0
687935.474417,8544553.057126,10180306.785388,12055.821000,0
359052.818136,8553087.588320,10190043.031318,12115.819000,0
29951.772046,8556419.489552,10193576.317545,12175.818000,0
-299167.480176,8554546.782929,10190904.552113,12235.817000,0
-628104.749042,8547470.697473,10182029.469269,12295.816000,0
-956659.965751,8535195.668089,10166956.628052,12355.811000,0
-1284633.308599,8517729.332484,10145695.408458,12415.811000,0
-1611825.329190,8495082.525941,10118259.005021,12475.810000,0
-1938037.078381,8467269.273960,10084664.417862,12535.809000,0
-2263070.231843,8434306.782849,10044932.441294,12595.808000,0
-2586727.215176,8396215.428157,9999087.649835,12655.805000,0
-2908811.328478,8353018.741095,9947158.381831,12715.804000,0
-3229126.870282,8304743.392843,9889176.720558,12775.803000,0
-3547479.260765,8251419.176773,9825178.472828,12835.802000,0
-3863675.164167,8193078.988688,9755203.145231,12895.801000,0
-4177522.610288,8129758.804949,9679293.917857,12955.795000,0
-4488831.115047,8061497.658675,9597497.615724,13015.794000,0
-4797411.799956,7988337.613902,9509864.677754,13075.793000,0
-5103077.510442,7910323.737748,9416449.123390,13135.791000,0
-5405642.932969,7827504.070684,9317308.516941,13195.790000,0
-5704924.710814,7739929.594805,9212503.929540,13255.786000,0
-6000741.558501,7647654.200273,9102099.898930,13315.785000,0
-6292914.374740,7550734.649842,8986164.386953,13375.784000,0
-6581266.353814,7449230.541515,8864768.734818,13435.784000,0
-6865623.095379,7343204.269437,8737987.616258,13495.782000,0
-7145812.712524,7232720.982924,8605898.988473,13555.777000,0
-7421665.938112,7117848.543817,8468584.041067,13615.776000,0
-7693016.229261,6998657.482064,8326127.142872,13675.775000,0
-7959699.869890,6875220.949600,8178615.786755,13735.774000,0
-8221556.071343,6747614.672620,8026140.532491,13795.773000,0
-8478427.070896,6615916.902176,7868794.947653,13855.769000,0
-8730158.228234,6480208.363258,7706675.546686,13915.767000,0
-8976598.119715,6340572.202302,7539881.728111,13975.766000,0
-9217598.630382,6197093.933182,7368515.709924,14035.765000,0
-9453015.043740,6049861.381792,7192682.463303,14095.765000,0
-9682706.129108,5898964.629150,7012489.644576,14155.756000,0
-9906534.226652,5744495.953202,6828047.525615,14215.755000,0
-10124365.329919,5586549.769252,6639468.922615,14275.755000,0
-10336069.165836,5425222.569106,6446869.123330,14335.751000,0
-10541519.272225,5260612.859018,6250365.812881,14395.751000,0
-10740593.072625,5092821.096391,6050078.998097,14455.746000,0
-10933171.948570,4921949.625400,5846130.930551,14515.745000,0
-11119141.309119,4748102.611481,5638646.028266,14575.744000,0
-11298390.657646,4571385.974774,5427750.796165,14635.743000,0
-11470813.655930,4391907.322597,5213573.745372,14695.742000,0
-11636308.185355,4209775.880936,4996245.311349,14755.738000,0
-11794776.405389,4025102.425088,4775897.771012,14815.737000,0
-11946124.809135,3837999.209431,4552665.158825,14875.735000,0
-12090264.275983,3648579.896394,4326683.181933,14935.734000,0
-12227110.121413,3456959.484713,4098089.134455,14995.732000,0
-12356582.143773,3263254.236969,3867021.810914,15055.726000,0
-12478604.668205,3067581.606517,3633621.418960,15115.725000,0
-12593106.587544,2870060.163815,3398029.491371,15175.724000,0
-12700021.400198,2670809.522216,3160388.797413,15235.723000,0
-12799287.245108,2469950.263297,2920843.253670,15295.722000,0
-12890846.933596,2267603.861735,2679537.834323,15355.717000,0
-12974647.978305,2063892.609838,2436618.481025,15415.713000,0
-13050642.619051,1858939.541741,2192232.012383,15475.712000,0
-13118787.845629,1652868.357313,1946526.033107,15535.710000,0
-13179045.417656,1445803.345880,1699648.842926,15595.709000,0
-13231381.881295,1237869.309744,1451749.345288,15655.704000,0
-13275768.583071,1029191.487622,1202976.955948,15715.703000,0
-13312181.680596,819895.477997,953481.511476,15775.702000,0
-13340602.150270,610107.162460,703413.177743,15835.701000,0
-13361015.792063,399952.629093,452922.358470,15895.700000,0
-13373413.231196,189558.095932,202159.603878,15955.694000,0
-13377789.916988,-20950.165431,-48724.480496,16015.693000,0
-13374146.118665,-231445.906055,-299579.324750,16075.692000,0
-13362486.918227,-441802.975648,-550254.485303,16135.692000,0
-13342822.200466,-651895.398259,-800599.735223,16195.691000,0
-13315166.640002,-861597.447662,-1050465.154182,16255.686000,0
-13279539.685566,-1070783.722365,-1299701.217942,16315.685000,0
-13235965.541379,-1279329.220199,-1548158.887356,16375.684000,0
-13184473.145696,-1487109.412451,-1795689.696802,16435.683000,0
-13125096.146653,-1694000.317489,-2042145.842021,16495.682000,0
-13057872.875257,-1899878.573845,-2287380.267288,16555.677000,0
-12982846.315782,-2104621.512710,-2531246.751881,16615.676000,0
-12900064.073419,-2308107.229795,-2773599.995798,16675.675000,0
-12809578.339256,-2510214.656531,-3014295.704666,16735.674000,0
-12711445.852732,-2710823.630560,-3253190.673801,16795.673000,0
-12605727.861421,-2909814.965475,-3490142.871374,16855.668000,0
-12492490.078404,-3107070.519788,-3725011.520648,16915.665000,0
-12371802.637087,-3302473.265081,-3957657.181226,16975.664000,0
-12243740.043559,-3495907.353294,-4187941.829274,17035.661000,0
-12108381.126612,-3687258.183141,-4415728.936696,17095.660000,0
-11965808.985323,-3876412.465591,-4640883.549185,17155.656000,0
-11816110.934417,-4063258.288421,-4863272.363165,17215.655000,0
-11659378.447316,-4247685.179774,-5082763.801538,17275.654000,0
-11495707.096934,-4429584.170703,-5299228.088215,17335.653000,0
-11325196.494381,-4608847.856694,-5512537.321429,17395.652000,0
-11147950.225446,-4785370.458093,-5722565.545729,17455.648000,0
-10964075.785102,-4959047.879472,-5929188.822712,17515.646000,0
-10773684.509933,-5129777.767864,-6132285.300387,17575.645000,0
-10576891.508554,-5297459.569838,-6331735.281162,17635.644000,0
-10373815.590175,-5461994.587436,-6527421.288466,17695.643000,0
-10164579.191192,-5623286.032887,-6719228.131902,17755.639000,0
-9949308.300053,-5781239.082142,-6907042.970996,17815.637000,0
-9728132.380280,-5935760.927165,-7090755.377449,17875.636000,0
-9501184.291757,-6086760.826949,-7270257.395876,17935.635000,0
-9268600.210386,-6234150.157302,-7445443.603056,17995.634000,0
-9030519.546050,-6377842.459293,-7616211.165593,18055.628000,0
-8787084.859076,-6517753.486443,-7782459.896071,18115.627000,0
-8538441.775130,-6653801.250565,-7944092.307591,18175.625000,0
-8284738.898620,-6785906.066252,-8101013.666694,18235.624000,0
-8026127.724717,-6913990.594043,-8253132.044701,18295.623000,0
-7762762.549953,-7037979.882183,-8400358.367370,18355.619000,0
-7494800.381553,-7157801.407042,-8542606.462957,18415.617000,0
-7222400.845457,-7273385.112120,-8679793.108571,18475.617000,0
-6945726.093112,-7384663.445626,-8811838.074844,18535.615000,0
-6664940.707124,-7491571.396682,-8938664.168939,18595.613000,0
-6380211.605738,-7594046.530046,-9060197.275800,18655.609000,0
-6091707.946305,-7692029.019451,-9176366.397741,18715.608000,0
-5799601.027689,-7785461.679474,-9287103.692273,18775.607000,0
-5504064.191685,-7874289.995920,-9392344.508177,18835.606000,0
-5205272.723554,-7958462.154796,-9492027.419860,18895.606000,0
-4903403.751625,-8037929.069753,-9586094.259909,18955.604000,0
-4598636.146131,-8112644.408104,-9674490.149925,19015.603000,0
-4291150.417222,-8182564.615333,-9757163.529561,19075.603000,0
-3981128.612248,-8247648.938086,-9834066.183745,19135.602000,0
-3668754.212376,-8307859.445714,-9905153.268174,19195.601000,0
-3354212.028546,-8363161.050255,-9970383.332935,19255.599000,0
-3037688.096862,-8413521.524967,-10029718.344407,19315.599000,0
-2719369.573427,-8458911.521319,-10083123.705308,19375.597000,0
-2399444.628676,-8499304.584442,-10130568.272918,19435.596000,0
-2078102.341272,-8534677.167115,-10172024.375529,19495.595000,0
-1755532.591588,-8565008.642159,-10207467.827015,19555.591000,0
-1431925.954845,-8590281.313372,-10236877.939650,19615.590000,0
-1107473.593934,-8610480.424904,-10260237.535056,19675.589000,0
-782367.151970,-8625594.169075,-10277532.953306,19735.589000,0
-456798.644635,-8635613.692714,-10288754.060248,19795.588000,0
-130960.352344,-8640533.101896,-10293894.252921,19855.583000,0
194955.287708,-8640349.465214,-10292950.463219,19915.582000,0
520755.789585,-8635062.815471,-10285923.159670,19975.581000,0
846248.726680,-8624676.149823,-10272816.347368,20035.580000,0
1171241.839775,-8609195.428423,-10253637.566108,20095.579000,0
1495543.145037,-8588629.571470,-10228397.886621,20155.574000,0
1818961.041918,-8562990.454787,-10197111.905053,20215.573000,0
2141304.420900,-8532292.903813,-10159797.735550,20275.572000,0
2462382.771041,-8496554.686054,-10116477.001001,20335.571000,0
2782006.287284,-8455796.502034,-10067174.821996,20395.570000,0
3099985.977468,-8410041.974655,-10011919.803877,20455.566000,0
3416133.769009,-8359317.637085,-9950744.022039,20515.565000,0
3730262.615203,-8303652.919082,-9883683.005362,20575.564000,0
4042186.601076,-8243080.131768,-9810775.717791,20635.563000,0
4351721.048786,-8177634.450925,-9732064.538159,20695.562000,0
4658682.622464,-8107353.898707,-9647595.238110,20755.559000,0
4962889.432518,-8032279.323898,-9557416.958297,20815.557000,0
5264161.139294,-7952454.380615,-9461582.182719,20875.556000,0
5562319.056061,-7867925.505490,-9360146.711243,20935.555000,0
5857186.251297,-7778741.893381,-9253169.630379,20995.554000,0
6148587.650175,-7684955.471538,-9140713.282197,21055.550000,0
6436350.135272,-7586620.872320,-9022843.231539,21115.549000,0
